subject,unit,lesson_number,lesson_id,title,hero_url,source_type,license,license_risk,artist,art_status,description,credit,caption_final,written_to_db
history-ocr,germany-people-state-1925-1955,1,a09d5410-0f89-41f9-a07d-dba60f560ea5,The Weimar Republic 1925-1928,https://images.unsplash.com/photo-1641218803472-ca97ceae73c4,unsplash,,,,line-and-wash,"The Reichstag building, Germany's parliament, flying German flags",Illustration after a photo via Unsplash,"The Reichstag building, Germany's parliament, flying German flags (Illustration after a photo via Unsplash)",N
history-ocr,germany-people-state-1925-1955,2,301e5ef4-0fcf-4af8-ab45-e29097250a33,The Depression and the rise of the Nazis 1929-1933,https://upload.wikimedia.org/wikipedia/commons/d/da/Manifestation_des_nazis_%C3%A0_Berlin_-_le_d%C3%A9fil%C3%A9_devant_l%27immeuble_des_communistes_-_btv1b9051113z.jpg,wikimedia,Public domain,FREE,Robert Sennecke Internationaler Illustrations Verlag. Agence photographique (commanditaire),line-and-wash,Nazi marchers with swastika flags parade past saluting people on a street,Illustration after a photo by Robert Sennecke Internationaler Illustrations Verlag. Agence photographique (commanditaire) · public domain · Wikimedia Commons,Nazi marchers with swastika flags parade past saluting people on a street (Illustration after a photo by Robert Sennecke Internationaler Illustrations Verlag. Agence photographique (commanditaire) · public domain · Wikimedia Commons),N
history-ocr,germany-people-state-1925-1955,3,2bc8f732-fe56-435a-9086-79ae937dab6d,Consolidation of Nazi power 1933-1934,https://upload.wikimedia.org/wikipedia/commons/a/a1/Bundesarchiv_Bild_102-14367%2C_Berlin%2C_Reichstag%2C_ausgebrannte_Loge.jpg,wikimedia,CC BY-SA 3.0 de,SHARE-ALIKE,Unknown author,line-and-wash,Two uniformed soldiers stand in a damaged room with debris,Illustration after a photo by Unknown author · CC BY-SA 3.0 de · Wikimedia Commons,Two uniformed soldiers stand in a damaged room with debris (Illustration after a photo by Unknown author · CC BY-SA 3.0 de · Wikimedia Commons),N
history-ocr,germany-people-state-1925-1955,4,dc53770b-a578-4616-b0db-e7a0db802a14,The Nazi terror state,https://upload.wikimedia.org/wikipedia/commons/8/86/Antique_Shop_Nazi_Officer_Hats.jpg,wikimedia,CC BY-SA 4.0,SHARE-ALIKE,Noah Wulf,line-and-wash,Two Nazi SS and German military peaked caps with emblems,Illustration after a photo by Noah Wulf · CC BY-SA 4.0 · Wikimedia Commons,Two Nazi SS and German military peaked caps with emblems (Illustration after a photo by Noah Wulf · CC BY-SA 4.0 · Wikimedia Commons),N
history-ocr,germany-people-state-1925-1955,5,09cb1261-409a-4f7c-bbe5-216626a0840c,"Propaganda, culture and the cult of Hitler",https://upload.wikimedia.org/wikipedia/commons/7/70/Propaganda_wervings_Poster_SS-Freiwilligen-Grenadier-Division_Langemarck_met_opschrift_Vlamingen_alle_in_de_SS_langemarck.jpg,wikimedia,Public domain,FREE,SS-Freiwilligen-Grenadier-Division Langemarck,line-and-wash,Two German soldiers with a bayoneted rifle confront a caricatured man displaying a Union Jack,Illustration after a photo by SS-Freiwilligen-Grenadier-Division Langemarck · public domain · Wikimedia Commons,Two German soldiers with a bayoneted rifle confront a caricatured man displaying a Union Jack (Illustration after a photo by SS-Freiwilligen-Grenadier-Division Langemarck · public domain · Wikimedia Commons),N
history-ocr,germany-people-state-1925-1955,6,1453fb89-723f-48ab-8551-6bc3f5b103f2,"Economy, society and the Nazi winners and losers",https://upload.wikimedia.org/wikipedia/commons/5/55/Bundesarchiv_Bild_183-J31305%2C_Auszeichnung_des_Hitlerjungen_Willi_H%C3%BCbner.jpg,generated,,generated,,generated (original),"A wet, empty market stall on a cobbled street next to a stone building",StudyVault illustration,"A wet, empty market stall on a cobbled street next to a stone building (StudyVault illustration)",N
history-ocr,germany-people-state-1925-1955,7,f4620f07-29d7-48e2-84c7-d8ebb41964f3,"Opposition, persecution and the racial state",https://upload.wikimedia.org/wikipedia/commons/0/06/The_day_after_Kristallnacht.jpg,wikimedia,Public domain,FREE,Unknown author,line-and-wash,"A shop window is shattered, with men walking past",Illustration after a photo by Unknown author · public domain · Wikimedia Commons,"A shop window is shattered, with men walking past (Illustration after a photo by Unknown author · public domain · Wikimedia Commons)",N
history-ocr,germany-people-state-1925-1955,8,f4814e56-93e5-4e14-9b6b-64c392b4c9a7,Germany at war 1939-1945,https://upload.wikimedia.org/wikipedia/commons/6/60/RIAN_archive_2251_Destroyed_Stalingrad_does_not_give_up.jpg,wikimedia,CC BY-SA 3.0,SHARE-ALIKE,Zelma / Георгий Зельма,line-and-wash,"A devastated city lies in ruins, viewed through the gaps of broken walls",Illustration after a photo by Zelma / Георгий Зельма · CC BY-SA 3.0 · Wikimedia Commons,"A devastated city lies in ruins, viewed through the gaps of broken walls (Illustration after a photo by Zelma / Георгий Зельма · CC BY-SA 3.0 · Wikimedia Commons)",N
history-ocr,germany-people-state-1925-1955,9,69c65bf8-07e0-4c83-8667-6b0cfe39dcf5,De-Nazification and divided Germany 1945-1955,https://upload.wikimedia.org/wikipedia/commons/8/8e/Courtroom_sketch_of_2_German_Admirals_created_during_the_Trial_of_German_Major_War_Criminals_at_Nuremberg_-_Ed_Vebell.jpg,wikimedia,Public domain,FREE,Ed Vebell,line-and-wash,"Two men in suits, one in uniform, and a speaker's podium with a microphone",Illustration after a photo by Ed Vebell · public domain · Wikimedia Commons,"Two men in suits, one in uniform, and a speaker's podium with a microphone (Illustration after a photo by Ed Vebell · public domain · Wikimedia Commons)",N
history-ocr,international-relations-1918-1975,1,c6fc3ab0-7771-4d17-b615-d374fab69c8d,The Versailles Peace Settlement 1919,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/conflict-tension/lesson 2 hero.jpg,generated,,generated,,generated (original),Three figures examine a large document on a long table in a grand hall,StudyVault illustration,Three figures examine a large document on a long table in a grand hall (StudyVault illustration),N
history-ocr,international-relations-1918-1975,2,58ba329e-14f9-4670-9e85-911875cc8430,The League of Nations in the 1920s,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/conflict-tension/lesson 5 hero.jpg,generated,,generated,,generated (original),"A grand, empty room with a large, round conference table",StudyVault illustration,"A grand, empty room with a large, round conference table (StudyVault illustration)",N
history-ocr,international-relations-1918-1975,3,91a6905c-0ac4-4e95-a854-c7b2f1f7a5cd,International agreements in the 1920s,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/conflict-tension/lesson 7 hero.jpg,generated,,generated,,generated (original),"A formal hall with a table laid with quills, inkwells, and rolled documents",StudyVault illustration,"A formal hall with a table laid with quills, inkwells, and rolled documents (StudyVault illustration)",N
history-ocr,international-relations-1918-1975,4,d3eecf8c-29ad-4cad-9310-9d3804a1cd61,The Great Depression and the retreat to nationalism,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/america/lesson-05-hero.jpg,r2,,,,line-and-wash,"A dense crowd of men fills an early 20th-century city street, with police present",Illustration after a photo via Unsplash,"A dense crowd of men fills an early 20th-century city street, with police present (Illustration after a photo via Unsplash)",N
history-ocr,international-relations-1918-1975,5,f82af6c2-c284-4c2f-b444-c796785e2aae,Tension in Europe in the 1930s,https://pub-aeb94e100e5a48f4a133be5bf206aecb.r2.dev/history/conflict-tension/lesson 12 hero.jpeg,generated,,generated,,generated (original),"A formal, empty meeting hall with a long table and an overturned chair",StudyVault illustration,"A formal, empty meeting hall with a long table and an overturned chair (StudyVault illustration)",N
history-ocr,international-relations-1918-1975,6,5255e247-f35c-4362-9a4c-6485ca019b98,"Yalta, Potsdam and the changing order 1945-1948",https://upload.wikimedia.org/wikipedia/commons/0/05/Yalta_Conference_%28Churchill%2C_Roosevelt%2C_Stalin%29_%28B%26W%29.jpg,generated,,generated,,generated (original),"An ornate hall features a large, star-shaped conference table with a central opening",StudyVault illustration,"An ornate hall features a large, star-shaped conference table with a central opening (StudyVault illustration)",N
history-ocr,international-relations-1918-1975,7,64a4fc42-8720-48f7-951c-b65464c28383,"Truman Doctrine, Marshall Plan and divided Germany",https://upload.wikimedia.org/wikipedia/commons/e/e7/Berlin_Airlift_Memorial_at_National_Memorial_Arboretum.jpg,wikimedia,CC BY 3.0,ATTRIB-REQUIRED,NMAguide,line-and-wash,An eagle statue on a monument with a prominent pink flowering tree,Illustration after a photo by NMAguide · CC BY 3.0 · Wikimedia Commons,An eagle statue on a monument with a prominent pink flowering tree (Illustration after a photo by NMAguide · CC BY 3.0 · Wikimedia Commons),N
history-ocr,international-relations-1918-1975,8,ce42b09c-776c-4dd5-a2b7-66ac07e4a091,"NATO, Warsaw Pact and the Berlin Wall",https://images.unsplash.com/photo-1560969185-ee68ef9080c0,unsplash,,,,line-and-wash,The Berlin Wall and a wire fence show a large gap in the middle,Illustration after a photo via Unsplash,The Berlin Wall and a wire fence show a large gap in the middle (Illustration after a photo via Unsplash),N
history-ocr,international-relations-1918-1975,9,8fc021ce-b68f-4af1-9970-da64637bab16,The Cuban Missile Crisis 1962,https://upload.wikimedia.org/wikipedia/commons/9/9d/Soviet-R-12-nuclear-ballistic_missile.jpg,wikimedia,Public domain,FREE,Central Intelligence Agency,line-and-wash,A large ballistic missile is paraded on a transporter past crowds,Illustration after a photo by Central Intelligence Agency · public domain · Wikimedia Commons,A large ballistic missile is paraded on a transporter past crowds (Illustration after a photo by Central Intelligence Agency · public domain · Wikimedia Commons),N
history-ocr,international-relations-1918-1975,10,a346b260-7758-4a19-a9c7-f06e6d2cab27,US involvement in Vietnam 1954-1965,https://images.unsplash.com/photo-1503539680555-732099a55a56,unsplash,,,,line-and-wash,"A vast complex of traditional red-roofed buildings amidst trees, lakes, and distant mountains",Illustration after a photo via Unsplash,"A vast complex of traditional red-roofed buildings amidst trees, lakes, and distant mountains (Illustration after a photo via Unsplash)",N
history-ocr,international-relations-1918-1975,11,070d2bc5-8e54-463f-b5c1-821aee777857,The Vietnam War 1965-1973,https://upload.wikimedia.org/wikipedia/commons/d/df/SP4_Orman_J._Orborn_inspects_equipment_in_a_Vietcong_base_camp_during_a_search_and_destroy_mission_north_of_Phu_Loi.jpg,wikimedia,Public domain,FREE,SP5 James Harmon,line-and-wash,"A soldier prepares a grenade launcher, surrounded by grenades in a jungle",Illustration after a photo by SP5 James Harmon · public domain · Wikimedia Commons,"A soldier prepares a grenade launcher, surrounded by grenades in a jungle (Illustration after a photo by SP5 James Harmon · public domain · Wikimedia Commons)",N
