bronze[0] solved_x=['-1', '2'] stored=[-1, 2] pairs_ok=True OK
bronze[1] solved_x=['-2', '3'] stored=[-2, 3] pairs_ok=True OK
bronze[2] solved_x=['-1', '4'] stored=[-1, 4] pairs_ok=True OK
bronze[3] solved_x=['0', '2'] stored=[0, 2] pairs_ok=True OK
bronze[4] solved_x=['-3', '-1'] stored=[-3, -1] pairs_ok=True OK
bronze[5] solved_x=['1', '3'] stored=[1, 3] pairs_ok=True OK
bronze[6] solved_x=['1', '2'] stored=[1, 2] pairs_ok=True OK
bronze[7] solved_x=['-2', '2'] stored=[-2, 2] pairs_ok=True OK
silver[0] solved_x=['-1', '2'] stored=[-1, 2] pairs_ok=True OK
silver[1] solved_x=['-1', '4'] stored=[-1, 4] pairs_ok=True OK
silver[2] solved_x=['-3', '2'] stored=[-3, 2] pairs_ok=True OK
silver[3] solved_x=['0', '2'] stored=[0, 2] pairs_ok=True OK
silver[4] solved_x=['1', '3'] stored=[1, 3] pairs_ok=True OK
silver[5] solved_x=['-1', '3'] stored=[-1, 3] pairs_ok=True OK
silver[6] solved_x=['-2', '2'] stored=[-2, 2] pairs_ok=True OK
gold[0] solved_x=['3', '4'] stored=[3, 4] pairs_ok=True OK
gold[1] solved_x=['-9/5', '1'] stored=[-1.8, 1] pairs_ok=True OK
gold[2] solved_x=['-2', '3'] stored=[-2, 3] pairs_ok=True OK
gold[3] solved_x=['-4', '2'] stored=[-4, 2] pairs_ok=True OK
gold[4] solved_x=['-4', '3'] stored=[-4, 3] pairs_ok=True OK
ALL_BANK_OK=True
