subject,subject_slug,school_id,unit,lesson_number,lesson_title,lesson_id,question_index,pastPaper,question_type,question_text
Music,gcse-music,a5414d1c-8841-4bc5-8573-a9756752361b,Musical Elements and Listening Skills,2,"Dynamics, Tempo and Rhythm",c25bc620-6980-4b1e-af7f-6ba6a95b2e61,5,Eduqas 2023 (Blood Brothers Q3a(i)),"1 mark — Identification (bar number, instrument, key etc.)",Give a suitable Italian term (e.g. Allegro) for the tempo of the extract.
English Language,english-language,,Paper 2: Writing,3,Speech Writing and Rhetorical Devices,856386e2-6c13-43cb-b549-2ad9e32546b0,0,AQA 2026 Sample,40 marks — Transactional Writing,"“Cars are convenient, comfortable and save time.” Write a speech to your local council arguing your point of view."
Music,gcse-music,a5414d1c-8841-4bc5-8573-a9756752361b,Musical Elements and Listening Skills,3,Texture and Structure,aa677c9a-a853-4bc0-abf6-e01deb891840,4,Eduqas Autumn 2020 Q1a,"1 mark — Identification (bar number, instrument, key etc.)",Listen to the extract. Identify the texture heard at this point in the music.
Music,gcse-music,a5414d1c-8841-4bc5-8573-a9756752361b,Musical Elements and Listening Skills,3,Texture and Structure,aa677c9a-a853-4bc0-abf6-e01deb891840,5,Eduqas Autumn 2020 Q1h,"1 mark — Identification (bar number, instrument, key etc.)",Name the structure used in this piece of music.
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Reading: Analysing Fiction,5,Writing a Structure Analysis Response,622d40fd-3b79-427d-a8f5-43efcec1ac37,0,AQA 2026 Sample Assessment,8 marks — Explain,"You now need to think about the structure of the source as a whole.

The text is from the middle of a novel.

How has the writer structured the text t"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Reading: Analysing Fiction,6,Evaluation — The Synoptic Question,bd8ad723-b768-42a9-827e-bba7c5979379,0,AQA 2026 Sample,Evaluate (9),"For this question focus on the second part of the source, from line 20 to the end.

In this part of the source, the hyena could be seen as funny or th"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Reading: Analysing Fiction,6,Evaluation — The Synoptic Question,bd8ad723-b768-42a9-827e-bba7c5979379,2,AQA 2026 Sample,Define (1 mark),"Read again the first part of the source, from lines 1 to 9.

Answer all parts of this question.

Tick one box for each question.

a) What worries Pi a"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Reading: Analysing Fiction,6,Evaluation — The Synoptic Question,bd8ad723-b768-42a9-827e-bba7c5979379,3,AQA 2026 Sample,Describe (2),"Look in detail at this extract, from lines 10 to 19 of the source.

How does the writer use language here to describe the hyena's appearance?

You cou"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Reading: Analysing Fiction,6,Evaluation — The Synoptic Question,bd8ad723-b768-42a9-827e-bba7c5979379,5,AQA 2026 Sample,Explain (6),"You now need to think about the structure of the source as a whole.

The text is from the middle of a novel.

How has the writer structured the text t"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Writing: Creative Writing,2,Setting the Tone Through Vocabulary,a214ef10-bd1c-4f36-92db-8f457bad8b1b,0,AQA 8700/1 Sample 2026,4 marks — Multiple Choice,"Read again the first part of Source A from lines 1 to 9.

Answer all parts of this question.

Tick one box for each question.

(a) What worries Pi abo"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 1 Writing: Creative Writing,2,Setting the Tone Through Vocabulary,a214ef10-bd1c-4f36-92db-8f457bad8b1b,1,AQA 8700/1 Sample 2026,8 marks — Analyse Language,"Look in detail at this extract, from lines 10 to 19 of the source.

How does the writer use language here to describe the hyena's appearance?

You cou"
English Language,english-language,a5414d1c-8841-4bc5-8573-a9756752361b,Paper 2 Writing: Transactional Writing,2,Rhetorical Devices in Action,a7fecd7f-da9d-4268-994b-1cb116ad26e9,0,AQA 2026 Sample Paper,40 marks — Transactional Writing,"'Cars are convenient, comfortable and save time. However, we need to use them less by making public transport such as trains, trams and buses cheaper,"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),6,Lighting & Sound Design,13bc3a9a-1602-4542-8813-bb026b81fd20,3,OCR November 2021,4 marks — Lighting/Sound Design,Explain two ways lighting could be used to develop the mood and atmosphere in one key moment in Blood Brothers.
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),6,Lighting & Sound Design,13bc3a9a-1602-4542-8813-bb026b81fd20,4,OCR June 2022,6 marks — Lighting/Sound Design,"Choose a dramatic moment from Blood Brothers. As a lighting designer, describe three lighting effects you could use to create mood and atmosphere. Exp"
Drama,drama,a5414d1c-8841-4bc5-8573-a9756752361b,Blood Brothers (Section A),6,Lighting & Sound Design,13bc3a9a-1602-4542-8813-bb026b81fd20,5,OCR June 2023,6 marks — Lighting/Sound Design,Identify three sound effects you could use to create drama in one key moment of Blood Brothers. Describe what each sound effect communicates to the au
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,"America, 1920–1973",4,A Divided Society,fc570c39-edff-4725-80e0-eb574bfce74f,0,AQA November 2020,4 marks — Describe two,Describe two problems faced by immigrants to America in the 1920s.
History,history,a5414d1c-8841-4bc5-8573-a9756752361b,"America, 1920–1973",4,A Divided Society,fc570c39-edff-4725-80e0-eb574bfce74f,4,AQA June 2022,12 marks — Which had more impact,"Which of the following had more impact on American society in the 1920s:

• prohibition
• immigration?

Explain your answer with reference to both bul"
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,4,Healthy Living and Lifestyle,319e2145-5154-4211-9486-ded5e256922a,3,AQA Practice Material,5 marks — Grammar,"Complete the sentences with the correct form of 'deber' or 'tener que':
1. (Yo) _____ comer bien si quiero mantenerme en forma. (deber)
2. (Tú) _____ "
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,4,Healthy Living and Lifestyle,319e2145-5154-4211-9486-ded5e256922a,4,AQA Practice Material,4 marks — Reading Comprehension,"Read the text and answer the questions in English.
'Para mantenerse en forma, hay que seguir una dieta equilibrada. Tengo suerte porque no soy tiquism"
Spanish,spanish,a5414d1c-8841-4bc5-8573-a9756752361b,People and Lifestyle,4,Healthy Living and Lifestyle,319e2145-5154-4211-9486-ded5e256922a,5,AQA Practice Material,3 marks — Listening Comprehension,"A Spanish health magazine gives advice. Choose the correct heading for each piece of advice:
Headings: A comida  B dormitorio  C ejercicio  D rutina  "
